academic	adj. 學院的，理論的
affection	n.愛，情感
affectionate	adj. 摯愛的，親切的
affiliate	v.加盟，入會
affinity	n.類似處，密切關係
affirm	v. 斷言，比准，證實
afflict	vt. 使痛苦，折磨
afflicting	痛苦的
affluence	n. 豐富，富裕，流入
affluent	adj.富裕的
afford 	v. 付的起，提供
age	v.老化
aged	adj.成年的，老年的
agenda	n.議程
aggravate	v. 惡化，加重
aggregate	n.總數，總計
aggression	n. 侵犯，侵害
aggressive	adj.好鬥的，
aghast	adj.驚駭的，恐怖的
agile	adj.敏捷的，活潑輕快的
agility	n. 敏捷，活潑
agitate	v. 煽動，攪動，激起
agonize	v. 使受苦，使苦悶
agrarian	adj. 土地的， 農業的
agreeable	adj. 宜人的，令人愉快的
aim 	v. 打算，意欲，目的，瞄準
alert	adj. 機敏的
algebra	n.代數
alien	n. 外國的， 陌生的
alienate	v. 使疏遠
alkali	n.鹼
allege	v. 宣稱，主張
allegiance	n. 忠誠
allegory	n. 諷喻，寓言
alleviate	v. 使減輕
alliance	n. 聯盟，同盟
allocate	vt. 分配，定位置
allot	v. 分配，指派
allude	v. 提及，暗指
allure	v. 引誘，誘惑，吸引
allusion	n.引示， 暗指
ally	v. 同盟，結盟
alone	adj. 單獨的
alter	v. 改變
alternate	n.替代物，v. 輪流,adj. 交替的
alternative	n.可選事務，adj.兩者條一的
altruism	n.利他主意
aluminium	n. 鋁
alumnus	n. 男校友
amalgamate	v. 混合，合併
amass	vt. 收集，積聚
amateur	n. 業餘的，業餘愛好者
amazed	adj. 驚愕的
ambiguous	adj. 含糊的，
ambitious	adj. 有野心的，雄心的
amenable	adj. 有責任的，肯接受的
amend	v. 修正，改進, 訂正
amiable	adj. 友善的，和藹的
amicable	adj. 和平的， 和善的
amount	n. 量，總數，數量
ample	adj. 充足的，足夠的
amplify	vt. 放大， 擴大
analogous	adj.類似的，相似的
analogy	n. 類似，類推
analysis 	n. 分析，分解，解析 （複數 analyses)
anecdote	n. 軼聞，軼事
angle	n.角度，角
anguish	n.極度的痛苦，苦悶，苦惱
animated	adj.有生氣的， 熱烈的，活躍的
annex	v. 附加，附件
annihilate	v. 銷減，殲滅
annotate	v. 註解
announce	v. 宣佈，通告
annoy	v. 使惱怒，打擾
annually	adv. 每年的
annul	vt. 廢除，取消
anomalous	adj. 反常的，不規則的
anomaly	n. 異立，異常，變態
anonymous	adj. 匿名的
antagonism	n. 敵對，對立，對抗
antagonist	n. 敵手，對手
anticipate	v. 預料，預期，期望
antique	adj. 古代的
antiquity	n. 古代
antiseptic	adj. 防腐的，殺菌的
anxious	adj. 渴望的
apathetic	adj.冷淡的
aperture	n. 孔，開口
apex	n. 頂點， 最高點
apologize	vi. 道歉
apparel	n. 服裝，衣服
appeal	n. 呼籲，申述
appear	vt. 出現，似乎
applaud	v. 喝彩，歡呼
applicant	n. 申請人
application	n. 請求，神情，施用
appoint	n.任命，委任， 約定，
appraise	v. 鑒定，評價
appreciate	v. 重視，感激
apprehend	v. 憂慮，畏懼，捕捉
apprehension	n. 擔心，害怕
apprentice	n.學徒
appropriate	adj. 適當的,恰當的,撥款,挪用,沒收
approve	v. 贊成，稱許，批准
approximate	adj.近似的，大約的
apt	adj. 有傾向的
aptitude	n. 才能，自然傾向
arable	adj. 適於耕種的
arbitration	n. 調停，仲裁
arbitrator	n. 仲裁著
archaic	adj. 古的
ardent	adj. 及熱情的，熱情的
ardor	n. 熱心
arduous	adj. 險峻的，困難的
arid	adj. 乾旱的
aristocrat	n. 貴族
arithmetic	n. 算術
armament	n. 兵力，軍力
armor	n. 裝甲，武器
aroma	n. 香氣， 芬芳，芳香
arouse	vt. 喚起
arrange	v. 排列
array	vt.裝扮，隊列，排列
arrogance	n. 傲慢
arrogant	adj. 傲慢的
article	n. 論文， 物品
ascend	v. 攀登， 攀高，追述
ascent	n. 攀登，上升
ascertain	vt. 確定，探知
ascetic	adj. 苦行的
aspect	n. 方面，樣子，外表
asperse	v. 誹謗
aspersion	n. 誹謗
aspiration	n. 熱望， 渴望
aspire	vi. 熱望
assail	vt. 猛擊，絕然面對
assassin	n. 刺客
assassinate	vt. 暗殺， 行刺
assault	v. 襲擊，攻擊
assemble	vt. 聚集
assembly	n. 集會
assert	v. 斷言，宣稱，維護
assess	vt. 估計
asset	n. 財產，財富
assiduous	adj. 勤勉的
assign	vt. 分配，指派
assimilate	v. 吸收
assist	v. 補助
associate	v. 聯合，夥伴
association	n. 協會，關聯
assuage	vt.緩和
assumption	n. 就職，假設
assure	vt. 使確信，向保證
astonish	vt. 使驚訝
astonished	adj. 驚訝的
astound	v. 使驚異
astronomy	n. 天文學
astute	adj. 機敏的，狡猾的
atheism	n. 無神論
athlete	n. 運動員
atmosphere	n. 氣氛，大氣層
atom	n.原子
attachment	n.連接物，附件
attainment	n. 成就
attend	vt. 參加
attendant	n. 侍者，服務人員
attorney	n. 代理人，辯護律師
at`tribute	v. 歸因於
`attribute	n. 性質
attrition	n. 磨損
audience	n.觀眾
audit	n. 審查，查賬
audition	n. 試聽， 面試
auditor	n.審計員，旁聽著
auditorium	n. 大禮堂，觀眾席
augment	v. 增大，增加
aura	n. 氣味，氣氛
auspices	n. 前兆，贊助，保護，主辦
auspicious	n. 吉兆的，幸運的
austerity	n. 節儉，嚴峻
authentic	adj. 可靠，又根據，真實的
authoritative	adj. 權威性的，官方的
authority	n. 權威
authorize	v. 授權
autocrat	n. 獨裁者
autonomy	n. 自治權
available	adj. 可用的
avalanche	n. v. 雪崩
avarice	n. 貪婪，貪財
avaricious	adj. 貪婪的， 貪心的
average	adj. 一般的，平均的
aversion	n. 厭惡
avert	v. 轉移，避免，防止
aviator	n. 飛行家，飛行員
avid	adj. 熱切的，貪婪的
avoid	vt. 避免。迴避，躲開
avow	v. 公開，承認
awe	n. v.  敬畏
awkward	adj. 笨拙的，尷尬的
axis	n.軸
baby-sit	v. 看管，照顧嬰兒
backward	adj. 退步的，相反的
baggage	n. 行李
bait	n. 誘餌
balance	n. 平衡
bald	adj. 禿頭的，光禿的
balk	v. 妨礙
ballot	n. 選票
balmy	adj. 溫和的，芳香的
ban	v. 禁止，禁令
bandit	n. 強盜
banish	vt. 驅逐出境
bankruptcy	n. 破產
banquet	n. 宴會
bar	n. 法院
barbarian	n. 野蠻人
bare	adj。 露出，空的
barely	adv. 僅僅
barometer	n. 氣壓計
barren	n. 貧瘠的，不孕的
barricade	n. 障礙物
barrier	n. 柵欄，屏障，障礙
barter	n.易貨，易貨貿易
bashful	adj. 害羞的，膽小的
basin	n. 盆地
bask	vt. 取暖，曬太陽，沐浴於
baste	vt. 毆打，公開責罵
batter	v. 擊破，搗壞，炮擊
bear	v. 具有，帶有，支撐
beat	adj. 疲倦的
becoming	adj. 合適的，相稱的
beforehand	adv. 事先的
befuddle	vt. 使混亂
beget	vt. 引起，產生
begrudge	vt. 羨慕，嫉妒
beguile	vt. 欺騙，消遣
behave	v. 舉止端正，表現，運轉
behaviour	n. 行為
belie	v. 掩飾
believer	n. 信徒
belittle	vt. 輕視
belligerent	adj. 好戰的，交戰的
benefactor	n. 恩人，行善的人，捐助人 (女性，benefactress)
beneficial	adj. 有益的
beneficiary	n.受益者，受惠著
benefit	n. 利益，對有益處
benevolent	adj. 慈善的
benign	adj. 親切的，良好的
bent	n. 傾向，愛好
bequest	n. 遺產，遺傳
berate	vt. 痛罵
bereave	vt. 剝奪
beset	v. 包圍
besides	adj. 除了
besiege	vt. 圍，包圍
bestow	v. 贈與，利用
betray	vt. 背叛，洩露
beverage	n. 飲料
bewilder	vt. 迷惑，把弄糊塗
bias	v. 偏見，使偏離
bicker	v. 爭吵
bidding	n. 邀請，投標，命令，要求
bigoted	adj. 固執己見的
bill	n. 鈔票，賬單，法案
biochemistry	n. 生物化學
bizarre	adj. 古怪的
blackmail	vt. 勒索 
blame	vt. 譴責
bland	adj.無刺激性的
blast	n. 一陣，爆破
bleach	v. 去色，漂白, 漂白劑
bleak	adj. 荒涼的
bleed	v. 流血
blemish	vt. 玷污
blend	v.n. 混合
blessed	adj. 愉快的， 神聖的
blessing	n. 祝福
blink	v. 眨眼
bliss	n. 狂喜
block	n. 一塊，阻礙，街區
blunder	v. 犯大錯
blunt	adj. 遲鈍的，使變鈍
board	n. 木板，委員會
boast	v. 自誇，吹噓
boastful	adj. 自誇的
bold	adj. 大膽的
bombastic	adj. 誇大的
bonanza	n. 富礦帶，幸運
bond	n.聯結，粘結，公債
bondage	n. 束縛
bonus	n. 紅利，獎金
boon	n. 恩惠
boredom	n. 煩惱， 無聊
boring	n. 令人厭煩的，鑽孔
botany	n. 植物學
bound	富有義務的，限制
boundary	n. 邊界
boundless	adj. 無限的
bow	v. n. 彎腰，屈服，弓子
brace	n. 支持，使固定，支撐物，
brag	n.v.誇張
brain	n. 腦，頭腦
brawl	n.vi.爭吵
breach	n. 破裂
breakdown	n. 崩潰，倒塌，失敗
breed	v. 養育，繁殖， 品種
breeze	n. 微風
brew	v. 釀造，圖謀
brighten	v. 使發光，使快活
brim	n. 邊
brink	n. 邊緣
brisk	adj. 活潑的,輕快的
brittle	adj. 易碎的
broaden	v. 放寬，變闊
bruise	v. 打傷，瘀傷
brutal	adj. 野蠻的
bud	v. 芽，發芽
budge	v. 移動
budget	v. 預算，做預算
bulk	n. 物體，容積，大批
bulky	adj. 龐大的，笨重的
burglar	n. 夜盜， 竊賊
burning	adj. 燃燒的，強烈的
burnish	vt. 磨光，使光滑
butt	n. 末端
butter	n. 奶油
byword	n. 諺語
calamity	n.不幸之事，災難
calculate	v. 計算，估計，計劃
calibre	n. 直徑，品質
cancel	vt. 取消
candidate	n. 候選人
canny	adj. 精明的，節儉的
canvas	n. 帆布
capable	adj. 有能力的
capacious	adj. 能容大量的
captivate	vt. 迷惑
captivity	n. 囚禁，拘留
carbon	n. 碳
cardinal	adj. 首要的，基本的
career	n. 生涯，職業
carnage	大屠殺，殘殺
carnal	adj.肉體的
castigate	v. 譴責
casual	adj. 非正式的，隨便的
casualty	n. 意外
cataclysm	n. 洪水， 大災難
catastrophe	n. 異常的災禍
catching	adj. 迷人的，傳染的
categorical	adj. 絕對的，無條件的
cathedral	n. 教堂
catholic	adj. 普遍的
cause	n. 導致，事業，原因
caustic	adj. 刻薄的，腐蝕性的
cautious	adj. 小心的，謹慎的
cavern	n. 大山洞，大洞穴
ceaseless	adj. 不停的
celebrity	n. 名人
celestial	adj. 天的
censor	n. 檢查，檢查員
censure	v. n. 責難
centigrade	adj. 攝氏的
ceremonial	adj. 儀式，正式的
ceremonious	adj. 隆重的，正式的，恭敬的
ceremony	n. 儀式
chafe	v. 擦熱，煩惱
chalk	n. 白堊，粉筆， 用粉筆寫
champion	v. 支持， n. 冠軍
chaos	n. 混亂
character	n. 性格，角色，文字
charge	v. 職責，收費，指控
charisma	n. 魅力，感召力
charitable	adj. 慷慨的，慈善的
charity	n. 施捨，慈善事業
chary	adj. 謹慎的，細心的
chaste	adj. 貞節的，純正的
chat	n. 閒談，聊天
check	vt. 檢查，核對
cherish	vi. 珍愛，撫愛
chide	v. 斥責
chiefly	adv. 主要的，多半的
chill	v. 使變冷，寒冷
chilly	adj. 寒冷的
chirp	n. 喳喳
choice	n. 選擇
choke	v.n. 窒息
choose	v. 選擇
chop	n. 砍，排骨
chore	n. 零工，雜物
chorus	n. 合唱團
Christian	n. 基督教徒。 Adj. 基督教的
chronic	adj. 長期的，慢性的
chuckle	vi. 咯咯的笑
cipher	n. 密碼
circuitous	adj. 迂迴的
circular	adj. 循環的，圓的
circulate	v. 使循環，循環
circulation	n. 循環
circumference	n. 圓周
circumscribe	v. 劃界限，限制
circumspect	adj. 慎重的，小心的
circumvent	vt. 欺詐，以計勝過
cite	vt. 引用，舉例
civilian	n. adj. 平民，平民的
clamour	n. 叫囂
clamp	v. 夾
clandestine	adj. 秘密的
clarify	v. 澄清， 闡明
clause	n. 分句，條款
clean	adv. 完全的
cleanse	v. 使清潔
cleft	n. 裂縫
clergy	n. 牧師
climate	n. 氣候
climax	n. 高峰，頂點
clinch	v. 釘牢，揪住
cling	vi. 粘附
clinic	n. 門診所
clip	n. 夾住，修剪，夾子，鉗子。
clog	v. 阻礙
close	adj. 親密的
clot	n. 凝塊
clothing	n. 衣服
clumsy	笨拙的，愚笨的
cluster	n. 束，叢生
clutch	v. 抓住，掌握
clutter	n. 混亂，使混亂
coarse	adj. 粗糙的，粗野的
coax	v. 哄， 耐心調理
coddle	v. 驕養，溺愛
cogent	adj. 強有力的，有說服力的
cohere	vt. 附著，連貫
coherent	adj. 連貫的
cohesion	n. 附著，結合，凝聚力
cohesive	adj. 有凝聚力的
coil	v. 盤繞，卷
coin	v. 鑄幣，創造
coincide	v. 相符合，相巧合
collaborate	vi. 合作
collapse	 n. v. 倒塌， 崩潰
collateral	n. 抵押品
colloquial	adj. 會話的，口語的
colossal	adj. 巨大的
combination	n. 化合，組合
comet	n.  彗星
commander	n. 司令官，指揮員
commence	v. 開始，獲得學位
commend	vt. 讚揚
commentator	n. 註釋著，解說員
commerce	n. 商業
commission	n. 委員會，佣金
committee	n. 委員會，委員
commodious	adj. 寬敞的
communicate	v. 通信，交流
community	n. 社區，社會，公社
compact	adj. 壓縮的，密集的
company	n. 夥伴
comparable	adj. 可比得，類似的
comparative	adj. 比較的
compare	v. 比較，比喻
compassion	n. 憐憫，同情
compatible	adj. 兼容的
compel	vt. 強迫
compensation	n. 補償，賠償
compete	vt. 競爭
competent	adj. 能勝任的
compile	v. 收集，編纂
complaint	抱怨，怨言，控告
complement	n. 補足物，補足
complementary	adj. adv. 補充的
complete	adj. 完全的，完成
complex	adj. 複雜的，綜合體
complicate	v. 使複雜，使陷入
compliment	n. 問候，讚美，祝賀
complimentary	adj. 讚美的
comply	vi.順從，應允
component	n. 組成部分
composed	adj. 沉著的
composure	n. 鎮靜
comprehend	vt. 理解
comprehensive	adj. 綜合的，有理解的
comprise	v. 包括
compulsive	adj. 強迫的
compulsory	adj. 義務的，必修的
conceal	v. 隱藏
concede	vt. 讓步，承認
conceit	n. 自負，自高自大
conceive	v. 想像，懷孕
concerned	adj. 焦慮的
concert	n.音樂會
concerted	adj. 協定的，協調的
concession	n. 讓步，牽就
conciliatory	adj. 善於調節的
concise	adj. 簡明的
conclude	v. 推斷出，斷定，結論
conclusive	adj. 決定的，最後的
concoct	v. 編造，虛構
concrete	adj. 具體的  n.水泥
concur	v. 同意，同時發生
concurrence	n. 一致
concurrent	adj. 同時發生的
condemn	vt. 譴責
condiment	n. 調味品
condition	n. 條件，狀況，健康情形
condone	v. 寬恕，赦免
con`duct	v. 引導
`conduct	n. 行為
cone	n. 圓錐
confederate	adj. n. 同盟
confer	v. 協商，頒給，賦予
conference	n. 會議，討論會
confess	v. 懺悔，坦白
confide	v. 傾訴
confidence	n. 信心
confident	adj. 確信的，自信的
confidential	adj.機密的
confine	n. 限制，邊界
confirm	v. 證實，確認
confiscate	vt. 沒收，充公
confound	vt. 使糊塗，迷惑
confuse	vt. 混淆
congenial	adj. 意氣相投的
congested	adj. 擁擠的
congregate	vt. 聚集
congressman	n.國會議員
congruity	n. 一致，協調
conjure	v. 變戲法，懇求
connivance	n. 默許
connive	vi. 縱容，默許
connoisseur	n. 鑒賞家，行家
conscience	n. 良心，良知
conscientious	adj. 盡職的，正直的
conscious	adj. 有意識的
consecrate	v. 奉為神聖，奉獻
consecutive	adj. 連續的
consensus	n. 一致
conservative	adj. 保守的，保守的人
conservatory	n. 溫室，音樂學校
conserve	vt. 貯藏
consider	vt. 考慮
considerable	adj. 相當的
considerate	adj. 考慮周到的
console	v. 安慰
consolidate	v. 合併
consort	vt. 結交
conspicuous	adj. 引人注目的
conspiracy	n. 陰謀
conspire	vt. 陰謀，密謀
constant	adj. 不變得
constellation	n. 星座
constitute	v. 構成
constrain	v.強迫
constrict	v. 收緊，壓縮
construct	vt. 建造，構造
construe	v. 解釋，翻譯
consult	v. 商量，請教
consume	v. 消費，消耗
consumer	n. 顧客，消費者
contagious	adj. 傳染的
container	n. 容器
contaminate	v. 污染
contempt	n. 蔑視
contemplate	v. 凝視，沉思
contemptible	adj. 可鄙的
contemptuous	adj. 苗似的，傲慢的
contend	v. 爭鬥
con`tent	adj. 滿足的
`content	n. 內容
continent	n. 大陸
contingent	adj. 可能發生的
continually	adv. 不斷的
contour	n. 輪廓，海岸線
`contract	n. 契約
con`tract	v. 收縮，感染
contradict	v. 反駁，牴觸
contrast	n. 對比
contravene	v. 反對，違反
contrite	adj. 悔悟的
contrive	v. 發明，設法
controversial	adj. 引起爭論的
controversy	n. 爭論
controvert	v. 反駁，辯論
convene	v. 集合
convenient	adj.便利的，方便的
convention	n. 會議，協定，傳統
conventional	adj. 傳統的，習俗的
convert	v. 轉換
convey	v. 運輸，表達
convict	v. 判罪，證明
convoy	n. 護送
cooperation	n.合作
coordinate	adj. 同等的，並列的
copper	n. 銅
copy	v. 複製，模仿
cordial	adj. 真誠的，誠懇的
corps	n. 軍團，兵團
corpse	n. 屍體
corpulent	adj. 肥胖的
correct	adj. 正確的，糾正
correlate	v. 相關聯
correspondence	n. 對應，符合，通信
corroborate	vt. 確證
corrode	v. 損害
cosmopolitan	adj. 全世界的
costume	n. 服裝
counsel	n. 商議，忠告，律師，勸告
counterfeit	n. adj. 偽造，假冒的，贗品
counterpart	n.相對物，及相似之物
countless	adj. 無數的
court	n. 法庭   v.追求
courteous	adj. 有禮貌的，謙恭的
cover	vt. 包括，報道
covetous	adj. 貪心的
cower	v. 畏縮的
cozy=cosy	adj. 舒適的
craft	n. 船，手藝
crafty	adj. 靈巧的，巧妙的
cram	v. 填塞，倉促用功
crash	n. v. 撞碎
crave	v. 渴求
crazy	adj. 狂熱的
credential	n. 憑證
credit	n. 信譽，學分
credulous	adj. 輕信的
creed	n. 信仰，信條
creek	n. 小灣，小溪
crevasse	n. 裂縫，破口
crew	n. 船員
crisp	adj. 脆的，捲曲的
critical	adj. 評論的，批評的，危及的,臨界的
crooked	adj. 扭曲的，狡詐的
crucial	adj. 嚴重的，極重要的
crude	adj. 未提煉的，生的
cruel	adj. 殘忍的
crumble	v. 粉碎，崩潰
crumple	v. 壓皺
crush	vt. 搾，擠，壓碎
crust	n. 地殼，硬外皮
cryptic	adj. 神秘的，隱藏的
crystal	n. 水晶，晶體，清澈的
cubic	adj. 立方體的
cuisine	n. 烹調
culmination	n. 頂點
culpable	adj. 該受譴責的
cult	n. 崇拜，崇拜者
cultivate	vt. 耕種，培養
cultivation	n. 耕種，培養
cunning	adj. 狡猾的，可愛的
curb	n. 抑制
curiosity	n. 好奇心
curious	adj. 好奇的
currency	n. 通貨，通用，市價
current	adj. 現今的，n. 流，趨勢
cursory	adj. 倉促的
curt	adj. 簡短的，草率的
curtail	vt. 縮減
cushion	n. 墊層，緩解
custom	n. 習慣，進口稅
cynical	adj. 譏諷的，冷嘲熱諷的
dab	n. 輕拍
dagger	n. 短劍
damp	adj. 潮濕的
dampen	v. 使潮濕，使沮喪
dangerous	adj. 危險的
dangle	v. 懸擺
dank	adj.陰濕的
daring	adj. 大膽的，勇敢的
dart	v. 投擲
dated	adj. 有年頭的，陳舊的
dauntless	adj. 勇敢的
daze	v. 混暈，使混暈，茫然
dazzle	v. 使目眩，使迷惑
dazzling	adj. 耀眼的
dead	adv. 完全的
deadly	adj. 致命的，極度的
deal 	vt. 處理，交易
debatable	adj. 爭論中的，未決定的
debt	n. 債務
debtor	n. 債務人
decadence	n. 衰落，頹廢
decay	vt. 腐敗
deceit	n. 欺騙，欺詐
deceitful	adj. 欺騙的
deceive	v. 欺騙，行騙
decent	adj. 正派的，體面的
deceptive	adj. 虛偽的，騙人的
decide	v. 決定
decimal	adj. 十進制的，小數
declaim	v. 朗誦，演講
decline	v. 衰落，拒絕
declivity	n. 下傾的斜面
decorum	n. 禮儀
decree	n. 法令，規定，頒布
decry	v. 危難，譴責
dedicate	vt. 奉獻，致力於
deem	v. 認為
defame	v. 誹謗，損毀名譽
default	n. 不履行責任，缺乏，不履行
defect	v. 缺陷
defection	n. 背叛，缺陷
defective	adj. 有缺陷的
defend	vt. 防護，辯護
defer	v. 延期
deference	n. 敬意
deferential	adj. 敬意的
defiant	adj. 大膽反抗的
deficit	n. 赤字
defile	v. 弄污
definite	adj. 明確的，肯定的
deflect	v. 使偏離
deform	v. 使變形
defraud	vt. 欺詐
deft	adj. 靈巧的，熟練的
defunct	adj.死的
defy	v. 蔑視，反抗
degenerate	n. 墮落的，退步
degrade	v. 使降級，使墮落
deity	n. 神
dejected	adj. 失落的，沮喪的
delay	v. 推遲，耽擱，延誤
delegate	n. 代表
delete	vt. 刪除
deleterious	adj. 有害的
deliberate	ad. 認真的，故意的
delicate	adj. 精巧的，脆弱的
delicious	adj. 美味的，宜人的
delineate	v. 刻畫，記述
delude	vt. 欺騙，迷惑
demise	n. 死亡
democracy	n. 民主
demolish	vt. 破壞
demonstrate	vt. 演示，論證
demur	vi. 躊躇，抗議
denote	vt. 指示，表示
denounce	vt. 譴責，聲討，告發
dense	adj. 密集的
density	n. 密度
deny	v. 否認
depart	vt. 離開，出發
dependent	adj. 依靠的，依賴的
depict	vt. 描寫，敘述
deplore	v. 悲痛，深悔
deport	vt. 驅逐出境，放逐，舉止
deposit	n. 放置，存款，押金
depot	n. 倉庫，容納
deprecate	vt. 抗議，攻擊
depreciate	v. 貶值
depress	v. 使沮喪
depression	n. 蕭條，凹陷，使沮喪
deputy	n. 代理人
derange	vt. 擾亂
deride	vt. 嘲笑，愚弄
desert	n. 沙漠，vt.離棄
deserve	v. 應得
design	n. 設計，圖案, v.設計
designate	v. 指定，指派
designing	adj. 狡猾的，蓄意的
desirable	adj. 理想的，如意的
desire	vt. 想要，慾望
desirous	adj. 渴望的
desolate	adj. 荒涼的
despatch=dispatch	n.迅速處理
despicable	adj. 可鄙的
despise	vt. 輕視，蔑視
despoil	vt. 爭奪，搶劫
dessert	n. 甜點
destination	n. 目的地
destine	vt. 指定，命運注定
destiny	n. 命運
destructive	adj. 破壞性的
detach	vt. 分開，分遣
detached	adj. 分離的，公正的
detain	v. 延遲，拘留
detect	vt. 探測，發掘
determination	n. 決定，決心
determine	v. 決定
deterrent	n. 制止物
detest	vt. 憎惡
detract	v. 去掉，減損
detriment	n. 損害
detrimental	adj. 有害的
devastate	vt. 毀壞
develop	vt. 發展，產生，成長
deviate	vt. 出軌，離題
device	n. 機械，裝置，設計
devious	adj. 曲折的
devise	vt.計劃，發明
devoid	adj. 缺乏的
devoted	adj. 熱心的
devotion	n. 獻身，忠誠，專心
devour	vt.吞食，吞沒，毀滅
devout	adj. 虔誠的
dexterous	adj. 靈巧的
diagnose	v. 診斷，分析
diagnosis	n. 診斷
diagram	n. 圖表
dialect	n. 方言，土語，地方話
dialogue	n. 對話
diameter	n. 直徑
dictatorial	adj. 獨裁的， 專斷的
diet	n. 飲食，食物，節食
diffuse	v. 傳播,擴散
dignified	adj. 尊嚴的，高貴的
dignify	vt. 使尊嚴，使顯貴
dignity	n. 尊嚴
digress	v. 離開本題
dilate	vt. 使膨脹，使擴大
dilemma	n. 左右為難，困境
diligent	adj. 勤勉的，勤奮的
dilute	v. 稀釋，沖淡
dim	adj. 昏暗的，朦朧的
dimension	n. 尺度，維
diminish	v. 減少，縮小
diminutive	adj. 小的
dingy	adj. 昏暗的，骯髒的
diplomacy	n. 外交，策略
diplomatic	adj. 外交的，策略的
direct	vt. 引導，直接的
disarm	v. 繳械，消除
disarming	adj. 消除敵意的
disarrange	v. 擾亂
disarray	n. 雜亂，混亂
disaster	n. 災難
disastrous	adj. 災難性的，悲慘的
disband	v. 解散
disburse	v. 支付，支出，分配
discard	vt.  丟棄
discerm	v. 辨明
discernible	adj. 可察覺的
discharge	v. 釋放
disciple	n. 門徒
disclaim	v. 拒絕承認
discord	n. 不和諧
discount	n. 折扣
discourse	n 演講，論文
discreet	adj. 慎重的,謹慎的
discrete	adj. 不連續的，離散的
discretion	n. 判斷力，慎重
discrimination	n. 歧視
disdain	n. 輕視，不懈，輕蔑
disfigure	v. 破壞
disgrace	v.不光彩的，丟臉的
disgust	n. 厭惡
disinterested	adj. 公正的
dismal	adj. 沮喪的，陰暗的
dismay	v. 使飢餓，使沮喪
disparage	vt. 輕視，譭謗
dispatch	vt. 分配，派遣
dispensable	adj. 可有可無的
displace	vt.取代，轉移
dispose	v. 處理，丟掉
disposition	n. 性情
disprove	v. 反駁，證明有誤
disreputable	adj.聲名狼藉的
disrespectful	adj. 無禮的，輕視的
disrupt	v. 使中斷，使分裂
dissect	v. 解剖，詳細研究
dissemble	v. 隱藏，偽裝
disseminate	v. 散步，傳播
dissimilar	adj. 不相似的，不同的
dissimulate	v. 假裝，掩飾
dissipate	v. 驅散，消散
distant	adj. 遠的
distillation	n. 蒸餾
distort	vt. 歪曲
distract	v. 分散，打擾
distressed	adj. 痛苦的
distribute	vt. 分發，分送，分佈
disunite	v. 使分離
diverge	vi. 分歧，差異
divergent	adj. 分歧的，分叉的
diverse	adj. 不同的
diversify	v. 使多樣化
divide	v. 分割，除
divulge	vt. 宣佈，洩露
doctrine	n. 教義，主義，學說
dodge	v. 躲開，逃避責任
dogma	n. 教義，教條
dogmatic	adj. 教條的，武斷的
doleful	adj. 悲哀的
dolphin	n. 海豚
domestic	adj. 家內的，國內的
dominant	adj. 佔優勢的，主導的
dominate	v. 統治，支配，控制
domineering	adj. 盛氣凌人的，專橫的
dominion	n. 領土，主權
